,lon,lat,geom
0,198417.22812761102,555844.179888731,POINT (198417.228127611 555844.179888731)
1,198671.75850051802,553318.4672010139,POINT (198671.758500518 553318.4672010139)
2,197299.09312707698,554266.218298165,POINT (197299.093127077 554266.218298165)
3,198498.31432152103,552166.86653381,POINT (198498.314321521 552166.86653381)
4,196210.96612710602,555609.825665122,POINT (196210.966127106 555609.825665122)
5,201375.265465099,552871.722483627,POINT (201375.265465099 552871.722483627)
6,199852.612378215,552936.978109541,POINT (199852.612378215 552936.978109541)
7,196715.557662878,552458.352129514,POINT (196715.557662878 552458.352129514)
8,199949.221470364,554493.805202406,POINT (199949.221470364 554493.805202406)
9,197938.88998543,556744.1503372521,POINT (197938.88998543 556744.1503372521)
