,시리얼번호,기온(℃),조도(lux),자외선(UVI),자치구,주소,위도,경도,idx,temp_rank,uv_rank,lux_rank,sum_val
56,V02Q1940156,27.017272727272733,12173.772727272728,0.498181818181818,성동구,서울특별시 성동구 마장동 780,37.56667486,127.0455215,51,577.999,243.35999999999999,217.778,1039.137
34,V02Q1940261,26.78879310344828,14286.98275862069,0.596551724137931,성동구,서울특별시 성동구 성수동1가 13-219,37.54980884,127.0497702,29,561.469,248.64,221.12199999999999,1031.231
61,V02Q1940935,26.79916666666666,11696.991666666667,0.485,중구,서울특별시 중구 덕수궁길 15 서울시청 서소문별관3동,37.5648,126.975981,56,562.571,242.16,216.733,1021.4639999999999
109,V02Q1940799,26.98545454545456,9557.49090909091,0.38545454545454544,도봉구,서울특별시 도봉구 창동 557-72,37.6378168,127.038271,103,576.897,230.88,207.95499999999998,1015.732
50,V02Q1940517,26.69306930693067,12293.0099009901,0.5198019801980199,관악구,서울특별시 관악구 신원로 3다길 1,37.48248622,126.9264971,45,552.653,244.79999999999998,218.196,1015.649
101,V02Q1940250,26.86601941747573,9656.174757281551,0.3970873786407768,중랑구,서울시 중랑구 면목동 142-35,37.589051,127.0808924,95,566.428,232.79999999999998,208.791,1008.019
58,V02Q1940340,26.63783783783784,11909.756756756755,0.4954954954954956,강북구,서울특별시 강북구 미아동 229-22,37.6255552,127.02721499999998,53,544.388,242.88,217.35999999999999,1004.628
125,V02Q1940266,26.92727272727273,9184.318181818182,0.3672727272727273,노원구,서울특별시 노원구 공릉동 499-1,37.62510077,127.0734884,119,572.489,227.04,203.775,1003.304
45,V02Q1940742,26.979464285714283,7328.383928571428,0.5339285714285716,송파구,서울특별시 송파구 석촌동 328-3,37.50104027,127.1097395,40,576.346,246.0,177.85899999999998,1000.2049999999999
24,V02Q1940530,26.600000000000005,9470.0,0.7333333333333334,성동구,서울특별시 성동구 성수동1가 656-130,37.54214419,127.0477518,19,541.082,251.04,206.91,999.0319999999999
157,V02Q1940327,27.175000000000004,8262.788461538461,0.32884615384615395,광진구,서울특별시 광진구 구의동 237-10,37.54225653,127.0851136,151,581.3050000000001,219.35999999999999,193.952,994.6170000000001
139,V02Q1940064,26.882178217821785,8790.782178217822,0.3455445544554456,성북구,서울특별시 성북구 장위동 45-4,37.61107942,127.0555166,133,568.081,223.67999999999998,200.849,992.6099999999999
85,V02Q1940884,26.61206896551724,10602.637931034482,0.4293103448275864,관악구,서울특별시 관악구 신림동 1439-3,37.48739741,126.9271244,79,542.1840000000001,236.64,212.971,991.7950000000001
103,V02Q1940848,26.665254237288146,9327.305084745763,0.390677966101695,종로구,서울특별시 종로구 이화동 9-264,37.57769818,127.006748,97,548.796,232.32,204.82,985.9359999999999
79,V02Q1940949,26.55,10722.550847457629,0.4381355932203391,강북구,서울특별시 강북구 수유동 55-7,37.6303757,127.0226279,73,531.715,238.07999999999998,213.59799999999998,983.393
63,V02Q1940334,26.48190476190477,11877.05714285714,0.4752380952380952,도봉구,서울특별시 도봉구 방학동 685-69,37.66563906,127.0400687,58,519.5930000000001,241.67999999999998,217.15099999999998,978.424
214,V02Q1940627,27.166055045871566,7963.954128440368,0.29266055045871553,성동구,서울특별시 성동구 송정동 73-879,37.55181934,127.06737959999998,208,580.2030000000001,205.67999999999998,189.14499999999998,975.028
130,V02Q1940225,26.62843137254902,9074.06862745098,0.357843137254902,중랑구,서울특별시 중랑구 면목동 483-23,37.58597736,127.0883832,124,543.2860000000001,225.84,202.73,971.8560000000001
203,V02Q1940119,26.90392156862745,8077.176470588235,0.3,동대문구,서울특별시 동대문구 장안동 338-1,37.57014257,127.072957,197,570.2850000000001,208.56,191.02599999999998,969.871
19,V02Q1940278,26.371559633027523,18883.42201834862,0.8064220183486239,동작구,서울특별시 동작구 노량진동 84-102,37.5124009,126.9425468,14,495.34900000000005,252.23999999999998,221.958,969.547
172,V02Q1940270,26.802884615384627,7961.875,0.3182692307692309,성동구,서울특별시 성동구 성수동1가 8-5,37.54728698,127.0467402,166,564.224,215.76,188.93599999999998,968.9200000000001
137,V02Q1940122,26.592156862745085,9198.460784313726,0.3480392156862746,동대문구,서울특별시 동대문구 청량리동 49-1,37.58571599,127.0479117,131,539.4290000000001,224.16,203.98399999999998,967.5730000000001
160,V02Q1940262,26.677678571428586,8542.74107142857,0.32678571428571435,관악구,서울특별시 관악구 봉천동 872-23,37.48342803,126.9494608,154,549.3470000000001,218.64,198.34099999999998,966.3280000000001
92,V02Q1940870,26.46754385964913,9962.140350877193,0.4131578947368422,성동구,서울특별시 성동구 성수동1가 160-1,37.53810274,127.0468807,86,516.287,234.95999999999998,210.463,961.71
