,시리얼번호,기온(℃),조도(lux),자외선(UVI),자치구,주소,위도,경도,idx,temp_rank,uv_rank,lux_rank,sum_val
96,V02Q1940935,27.28770491803279,8736.959016393444,0.3549180327868854,중구,서울특별시 중구 덕수궁길 15 서울시청 서소문별관3동,37.5648,126.975981,77,571.3870000000001,238.32,213.17999999999998,1022.8870000000001
64,V02Q1940340,27.130973451327435,10579.141592920354,0.4407079646017701,강북구,서울특별시 강북구 미아동 229-22,37.6255552,127.02721499999998,46,550.4490000000001,245.76,218.614,1014.8230000000001
40,V02Q1940670,27.12830188679245,8105.452830188679,0.5811320754716981,성동구,서울특별시 성동구 성수동1가 34-17,37.53927918,127.0498732,26,549.898,250.56,210.672,1011.1300000000001
88,V02Q1940332,27.14907407407407,9096.166666666666,0.3675925925925928,은평구,서울특별시 은평구 신사동 4-16,37.59765044,126.9120209,69,555.408,240.23999999999998,215.26999999999998,1010.918
149,V02Q1940520,27.436036036036025,7040.135135135136,0.2783783783783784,서대문구,서울특별시 서대문구 남가좌동 319-23,37.57822552,126.9232322,130,579.652,225.6,201.058,1006.3100000000001
60,V02Q1940261,27.064545454545442,11074.3,0.4481818181818182,성동구,서울특별시 성동구 성수동1가 13-219,37.54980884,127.0497702,43,536.123,246.48,219.868,1002.471
32,V02Q1940278,27.02561983471073,16180.181818181818,0.6842975206611569,동작구,서울특별시 동작구 노량진동 84-102,37.5124009,126.9425468,19,526.205,252.23999999999998,223.003,1001.4480000000001
153,V02Q1940799,27.31637931034484,7000.7758620689665,0.2758620689655173,도봉구,서울특별시 도봉구 창동 557-72,37.6378168,127.038271,134,573.0400000000001,224.64,200.849,998.529
142,V02Q1940843,27.259663865546237,6997.932773109244,0.2823529411764706,종로구,서울특별시 종로구 재동 54-1,37.57893651,126.9859126,123,569.183,227.28,200.64,997.103
187,V02Q1940266,27.403773584905647,6555.858490566037,0.2471698113207548,노원구,서울특별시 노원구 공릉동 499-1,37.62510077,127.0734884,166,577.4480000000001,216.95999999999998,195.624,990.0320000000002
103,V02Q1940285,27.08256880733945,8653.19266055046,0.3376146788990825,마포구,서울특별시 마포구 망원동 386-15,37.55472248,126.9103629,84,539.4290000000001,236.64,212.971,989.0400000000001
86,V02Q1940273,27.05333333333332,9121.183333333332,0.37583333333333335,강남구,서울특별시 강남구 논현동 107-44,37.51751212,127.0371336,67,532.817,240.72,215.47899999999998,989.0160000000001
150,V02Q1940280,27.262068965517248,6297.862068965517,0.2767241379310345,광진구,서울특별시 광진구 중곡동 265-8,37.56197559,127.0850326,131,569.734,225.35999999999999,191.23499999999999,986.3290000000001
182,V02Q1940270,27.31862745098039,6345.5,0.24901960784313734,성동구,서울특별시 성동구 성수동1가 8-5,37.54728698,127.0467402,161,573.591,218.16,192.28,984.031
174,V02Q1940119,27.23148148148148,6620.351851851852,0.25462962962962965,동대문구,서울특별시 동대문구 장안동 338-1,37.57014257,127.072957,154,565.326,220.07999999999998,196.66899999999998,982.0749999999999
73,V02Q1940456,26.979646017699128,9954.327433628321,0.41769911504424784,마포구,서울특별시 마포구 용강동 381-10,37.54310205,126.9426921,54,515.736,243.84,217.569,977.145
210,V02Q1940944,27.393277310924365,6198.084033613445,0.2394957983193277,중랑구,서울특별시 중랑구 묵동 249-24,37.60504164,127.07543259999998,189,576.346,211.44,188.518,976.3040000000001
95,V02Q1940884,26.997560975609762,8765.162601626016,0.3552845528455284,관악구,서울특별시 관악구 신림동 1439-3,37.48739741,126.9271244,76,519.042,238.56,213.59799999999998,971.2
115,V02Q1940156,27.033944954128433,7909.211009174312,0.3155963302752293,성동구,서울특별시 성동구 마장동 780,37.56667486,127.0455215,96,527.8580000000001,233.76,209.0,970.618
202,V02Q1940439,27.20347826086956,6327.060869565217,0.24173913043478265,마포구,서울특별시 마포구 성산동 630-3,37.55989095,126.9174751,181,562.571,213.35999999999999,191.862,967.793
151,V02Q1940601,27.11538461538462,6570.076923076923,0.2759615384615385,성동구,서울특별시 성동구 사근동 182-17,37.56026457,127.0480146,132,546.5920000000001,225.12,195.833,967.5450000000001
50,V02Q1940946,26.90962962962964,11243.674074074072,0.4925925925925927,양천구,서울특별시 양천구 신월동 796,37.534444,126.8347904,34,497.00200000000007,248.64,220.286,965.9280000000001
136,V02Q1940945,27.03282442748091,7507.633587786258,0.2916030534351145,마포구,서울특별시 마포구 망원동 403-6,37.55524371,126.9069028,117,527.307,228.72,205.65599999999998,961.683
192,V02Q1940756,27.127826086956524,6391.313043478261,0.24521739130434786,동작구,서울특별시 동작구 상도동 248-16,37.50007359,126.9324381,171,549.3470000000001,215.76,193.325,958.432
278,V02Q1940517,27.611504424778772,5663.911504424779,0.20619469026548676,관악구,서울특별시 관악구 신원로 3다길 1,37.48248622,126.9264971,256,583.509,195.35999999999999,178.06799999999998,956.937
268,V02Q1940312,27.463302752293576,5578.422018348624,0.21009174311926607,양천구,서울특별시 양천구 신정동 957-16,37.52282125,126.85843529999998,246,581.3050000000001,197.76,175.142,954.2070000000001
80,V02Q1940302,26.90948275862069,8635.801724137931,0.3887931034482759,중구,서울특별시 중구 순화동 207-6,37.5595092,126.9718932,61,496.451,242.16,212.762,951.373
126,V02Q1940848,26.96206896551724,7571.905172413794,0.3025862068965517,종로구,서울특별시 종로구 이화동 9-264,37.57769818,127.006748,107,512.4300000000001,231.12,206.283,949.8330000000001
90,V02Q1940949,26.905468750000004,8774.015625,0.35781250000000003,강북구,서울특별시 강북구 수유동 55-7,37.6303757,127.0226279,71,493.696,239.76,213.807,947.263
93,V02Q1940395,26.90344827586208,9042.58620689655,0.3568965517241379,양천구,서울특별시 양천구 신월동 275,37.5389107,126.829309,74,493.14500000000004,239.04,214.643,946.8280000000001
256,V02Q1940449,27.233018867924518,5665.198113207548,0.21509433962264152,마포구,서울특별시 마포구 망원동 403-2,37.55579118,126.9059871,235,565.8770000000001,200.4,178.277,944.5540000000001
206,V02Q1940405,27.13425925925927,5641.324074074074,0.24074074074074076,금천구,서울특별시 금천구 독산동 330-40,37.46857802,126.8925761,185,552.653,212.4,177.441,942.494
87,V02Q1940686,26.877358490566035,8911.198113207547,0.3745283018867926,용산구,서울특별시 용산구 이태원동 260-118,37.54135461,126.9911155,68,485.982,240.48,214.225,940.687
175,V02Q1940225,27.02129629629628,6599.462962962963,0.2546296296296296,중랑구,서울특별시 중랑구 면목동 483-23,37.58597736,127.0883832,155,524.552,219.6,196.45999999999998,940.6120000000001
