,시리얼번호,기온(℃),조도(lux),자외선(UVI),자치구,주소,위도,경도,idx,temp_rank,uv_rank,lux_rank,sum_val
74,V02Q1940884,29.835114503816786,9447.786259541983,0.4053435114503817,관악구,서울특별시 관악구 신림동 1439-3,37.48739741,126.9271244,57,575.244,242.88,214.852,1032.976
58,V02Q1940179,29.656140350877195,10926.263157894737,0.4649122807017543,강서구,서울특별시 강서구 화곡동 46-156,37.54386703,126.8476199,41,556.51,246.72,218.405,1021.635
66,V02Q1940935,29.6078125,10329.1015625,0.4203125,중구,서울특별시 중구 덕수궁길 15 서울시청 서소문별관3동,37.5648,126.975981,49,549.898,244.79999999999998,217.15099999999998,1011.8489999999999
143,V02Q1940848,29.884558823529428,7663.9191176470595,0.2875000000000001,종로구,서울특별시 종로구 이화동 9-264,37.57769818,127.006748,123,579.652,227.04,203.775,1010.467
36,V02Q1940670,29.557480314960628,8379.83464566929,0.5543307086614172,성동구,서울특별시 성동구 성수동1가 34-17,37.53927918,127.0498732,22,547.143,251.28,209.209,1007.6320000000001
135,V02Q1940843,29.745255474452566,7579.883211678832,0.2970802919708029,종로구,서울특별시 종로구 재동 54-1,37.57893651,126.9859126,116,569.183,228.72,202.939,1000.842
100,V02Q1940156,29.63214285714284,8714.669642857143,0.34553571428571433,성동구,서울특별시 성동구 마장동 780,37.56667486,127.0455215,82,552.653,236.88,210.881,1000.414
145,V02Q1940520,29.72000000000001,7353.162962962962,0.28444444444444444,서대문구,서울특별시 서대문구 남가좌동 319-23,37.57822552,126.9232322,125,565.8770000000001,226.56,201.267,993.7040000000002
183,V02Q1940449,29.879999999999992,6912.708333333332,0.2575000000000001,마포구,서울특별시 마포구 망원동 403-2,37.55579118,126.9059871,162,579.101,217.67999999999998,194.99699999999999,991.7779999999999
138,V02Q1940439,29.666942148760327,7734.223140495867,0.2917355371900826,마포구,서울특별시 마포구 성산동 630-3,37.55989095,126.9174751,118,557.6120000000001,228.23999999999998,204.402,990.2540000000001
194,V02Q1940517,29.979259259259248,6754.6518518518515,0.25407407407407423,관악구,서울특별시 관악구 신원로 3다길 1,37.48248622,126.9264971,173,581.856,215.04,191.862,988.7579999999999
152,V02Q1940686,29.649606299212614,7393.267716535434,0.27952755905511817,용산구,서울특별시 용산구 이태원동 260-118,37.54135461,126.9911155,132,555.408,224.88,201.476,981.764
178,V02Q1940769,29.72403100775195,6912.193798449613,0.2596899224806202,양천구,서울특별시 양천구 신정동 874-4,37.52786532,126.8557268,157,567.5300000000001,218.88,194.78799999999998,981.1980000000001
26,V02Q1940278,29.3220338983051,16086.483050847455,0.6762711864406782,동작구,서울특별시 동작구 노량진동 84-102,37.5124009,126.9425468,15,501.96100000000007,252.95999999999998,223.003,977.924
213,V02Q1940447,29.852941176470576,6606.1092436974795,0.2453781512605043,양천구,서울특별시 양천구 신월동 910-2,37.52427347,126.8314064,192,576.897,210.48,189.14499999999998,976.522
81,V02Q1940285,29.39576271186441,9472.440677966102,0.3745762711864408,마포구,서울특별시 마포구 망원동 386-15,37.55472248,126.9103629,63,519.5930000000001,241.44,215.26999999999998,976.3030000000001
140,V02Q1940373,29.511016949152538,7737.949152542373,0.2889830508474577,은평구,서울특별시 은평구 응암동 604-5,37.58993857,126.9172919,120,542.735,227.76,204.611,975.106
121,V02Q1940863,29.480303030303027,7983.742424242424,0.3151515151515152,양천구,서울특별시 양천구 신정동 294-18,37.51887605,126.8710894,103,535.0210000000001,231.84,206.07399999999998,972.9350000000001
233,V02Q1940182,30.250892857142855,6088.910714285716,0.23125000000000004,강서구,서울특별시 강서구 화곡동 851-20,37.53237894,126.8553371,212,585.162,205.67999999999998,181.62099999999998,972.463
167,V02Q1940413,29.647008547008546,6881.136752136752,0.2666666666666667,양천구,서울특별시 양천구 신월동 883,37.5246553,126.8444487,146,554.8570000000001,221.51999999999998,194.161,970.538
88,V02Q1940395,29.382539682539683,9128.230158730159,0.36746031746031743,양천구,서울특별시 양천구 신월동 275,37.5389107,126.829309,70,515.736,239.76,212.971,968.467
153,V02Q1940450,29.88559322033898,5393.491525423729,0.27796610169491515,마포구,서울특별시 마포구 연남동 361-24,37.56548077,126.9177741,133,580.2030000000001,224.64,162.184,967.027
122,V02Q1940614,29.452272727272714,8028.113636363636,0.3121212121212121,양천구,서울특별시 양천구 목동 843,37.53754208,126.8717674,104,527.307,231.6,206.492,965.399
91,V02Q1940163,29.37153846153848,8960.723076923077,0.3584615384615386,강서구,서울특별시 강서구 공항동 60-10,37.55938828,126.8098556,73,512.4300000000001,239.04,212.135,963.605
120,V02Q1940799,29.41969696969697,8103.69696969697,0.3159090909090909,도봉구,서울특별시 도봉구 창동 557-72,37.6378168,127.038271,102,523.45,232.07999999999998,207.53699999999998,963.067
206,V02Q1940601,29.67175572519083,6716.81679389313,0.2496183206106871,성동구,서울특별시 성동구 사근동 182-17,37.56026457,127.0480146,185,559.816,212.16,191.02599999999998,963.002
92,V02Q1940814,29.362499999999986,9076.39705882353,0.3573529411764705,양천구,서울특별시 양천구 신정동 1142,37.51938461,126.85466809999998,74,510.77700000000004,238.79999999999998,212.762,962.3389999999999
214,V02Q1940442,29.704132231404966,6608.01652892562,0.2446280991735537,마포구,서울특별시 마포구 망원동 416-7,37.55753805,126.9029616,193,562.571,210.23999999999998,189.35399999999998,962.165
149,V02Q1940643,29.473643410852713,7526.829457364341,0.2829457364341084,마포구,서울특별시 마포구 합정동 85-9,37.54433165,126.9129634,129,533.368,225.6,202.31199999999998,961.2800000000001
168,V02Q1940606,29.503149606299218,7021.9448818897645,0.2653543307086614,마포구,서울특별시 마포구 노고산동 33-24,37.55445921,126.93769240000002,147,541.633,221.28,197.714,960.627
118,V02Q1940945,29.39071428571428,8360.107142857143,0.3185714285714287,마포구,서울특별시 마포구 망원동 403-6,37.55524371,126.9069028,100,517.94,232.56,208.791,959.2909999999999
65,V02Q1940750,29.3,10465.46511627907,0.4209302325581395,양천구,서울특별시 양천구 신월동 976-1,37.52197114,126.8359083,48,496.451,245.04,217.778,959.269
221,V02Q1940944,29.718382352941195,6463.5808823529405,0.2411764705882352,중랑구,서울특별시 중랑구 묵동 249-24,37.60504164,127.07543259999998,200,564.7750000000001,208.56,185.801,959.136
